Accession	Description	Pfam.IDs	Entrez.Gene.ID	Gene.Symbol	Chromosome
AAH71727.1	Eukaryotic translation elongation factor 1 alpha 1 [Homo sapiens]	Pf00009, Pf03143, Pf03144	1915	EEF1A1	6
5KQG_A	Chain A, Co-crystal Structure Of Lmw-ptp In Complex With 2-(benzothiazol-2- Ylamino)-2-oxo-1-phenylethanesulfonic Acid				
XP_005268559.1	treacle protein isoform X1 [Homo sapiens]	Pf03546	6949	TCOF1	5
NP_057368.3	CCR4-NOT transcription complex subunit 1 isoform a [Homo sapiens]	Pf04054, Pf12842	23019	CNOT1	16
XP_005258461.2	SUMO-activating enzyme subunit 2 isoform X1 [Homo sapiens]	Pf00899, Pf02134, Pf10585, Pf14732	10054	UBA2	19
BAO24705.1	PJA2/FER fusion protein [Homo sapiens]	Pf00069, Pf07714			
BAG61335.1	unnamed protein product [Homo sapiens]	Pf00076, Pf14259	1975	EIF4B	12
EAW95140.1	serine/arginine repetitive matrix 1, isoform CRA_c [Homo sapiens]	Pf01480	10250	SRRM1	1
XP_024307971.1	SUN domain-containing protein 2 isoform X1 [Homo sapiens]				
EAW87356.1	hCG29188 [Homo sapiens]	Pf00038, Pf00254, Pf00769, Pf01442, Pf01496, Pf01576, Pf01875, Pf02463, Pf03938, Pf03961, Pf03962, Pf04111, Pf04156, Pf04849, Pf05029, Pf05483, Pf05557, Pf05622, Pf05667, Pf05701, Pf05911, Pf06160, Pf06248, Pf07111, Pf07888, Pf07926, Pf08317, Pf08614, Pf09726, Pf09728, Pf09730, Pf09731, Pf09744, Pf09755, Pf09789, Pf10174, Pf10186, Pf10211, Pf10234, Pf10498, Pf11559, Pf12128, Pf12718, Pf12795, Pf13166, Pf13514, Pf13851, Pf13863, Pf13868, Pf14915, Pf14988, Pf14992, Pf15066, Pf15188, Pf15272, Pf15397, Pf15619	23307	FKBP15	9
BAG59593.1	unnamed protein product [Homo sapiens]	Pf00153, Pf00542			17
EAW68477.1	proteasome (prosome, macropain) subunit, alpha type, 1, isoform CRA_b [Homo sapiens]	Pf00227, Pf10584	5682	PSMA1	11
NP_068817.1	protein transport protein Sec24A isoform 1 [Homo sapiens]	Pf00626, Pf04810, Pf04811, Pf04815, Pf08033	10802	SEC24A	5
EAW74503.1	phosphofurin acidic cluster sorting protein 1, isoform CRA_b [Homo sapiens]	Pf10254	55690	PACS1	11
BAG54627.1	unnamed protein product [Homo sapiens]	Pf01602, Pf02883	164	AP1G1	16
BAD96946.1	F-actin capping protein alpha-1 subunit variant, partial [Homo sapiens]	Pf01267	829	CAPZA1	1
NP_008835.5	DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens]	Pf00454, Pf02259, Pf02260, Pf08163	5591	PRKDC	8
AAH25959.1	Dynein, cytoplasmic 1, light intermediate chain 2 [Homo sapiens]	Pf05783	1783	DYNC1LI2	16
3EIQ_A	Chain A, Crystal Structure Of Pdcd4-eif4a				
XP_011542830.1	pericentriolar material 1 protein isoform X1 [Homo sapiens]		5108	PCM1	8
BAC03595.1	unnamed protein product [Homo sapiens]	Pf00004, Pf00910, Pf01078, Pf05707, Pf06745, Pf07728, Pf12037, Pf13207, Pf13401	55210	ATAD3A	1
XP_006712541.1	arf-GAP domain and FG repeat-containing protein 1 isoform X1 [Homo sapiens]	Pf01412	3267	AGFG1	2
AAD44488.1	p47 [Homo sapiens]	Pf00789, Pf08059, Pf14555	55968	NSFL1C	20
XP_011513391.1	insulin-like growth factor 2 mRNA-binding protein 3 isoform X1 [Homo sapiens]	Pf00013, Pf00076, Pf13014, Pf13893, Pf14259, Pf14611	10643	IGF2BP3	7
1ZSV_A	Chain A, Crystal Structure Of Human Nadp-Dependent Leukotriene B4 12- Hydroxydehydrogenase				
BAG62914.1	unnamed protein product [Homo sapiens]	Pf00022	60	ACTB	7
NP_940932.2	matrix-remodeling-associated protein 7 isoform 3 precursor [Homo sapiens]		439921	MXRA7	17
NP_001077007.1	POTE ankyrin domain family member E [Homo sapiens]	Pf00022, Pf00023, Pf12796, Pf13606, Pf13637, Pf13857, Pf14915	445582	POTEE	2
BAF34150.1	putative 5-methycytoisine methyltransferase [Homo sapiens]	Pf01189, Pf13659	54888	NSUN2	5
2N77_B	Chain B, NMR solution structure of a complex of PEP-19 bound to the C-domain of apo calmodulin				
NP_001484.1	rab GDP dissociation inhibitor alpha [Homo sapiens]	Pf00996	2664	GDI1	X
4A08_A	Chain A, Structure Of Hsddb1-Drddb2 Bound To A 13 Bp Cpd-Duplex ( Purine At D-1 Position) At 3.0 A Resolution (Cpd 1)				
NP_000168.1	gelsolin isoform a precursor [Homo sapiens]	Pf00626	2934	GSN	9
NP_057157.1	hepatoma-derived growth factor-related protein 3 [Homo sapiens]	Pf00855	50810	HDGFRP3; HDGFL3	15
NP_006727.2	dnaJ homolog subfamily B member 2 isoform b [Homo sapiens]	Pf00226	3300	DNAJB2	2
NP_003357.2	cytochrome b-c1 complex subunit 2, mitochondrial precursor [Homo sapiens]	Pf00675, Pf05193	7385	UQCRC2	16; CHR_HG926_PATCH
AAC35881.1	rab3-GAP regulatory domain [Homo sapiens]	Pf14655, Pf14656	25782	RAB3GAP2	1
AAH24282.1	Similar to AFG3 ATPase family gene 3-like 2 (yeast), partial [Homo sapiens]	Pf00004, Pf01434, Pf05496, Pf06068, Pf06480, Pf07724, Pf07728, Pf13191, Pf13401	10939	AFG3L2	18
EAW54323.1	hexokinase 1, isoform CRA_d [Homo sapiens]	Pf00349, Pf03727	3098	HK1	10
NP_001353173.1	golgin subfamily A member 2 isoform 1 [Homo sapiens]				
XP_024309269.1	acylamino-acid-releasing enzyme isoform X4 [Homo sapiens]				
AAA51828.1	N-acetyl-beta-glucosaminidase prepro-polypeptide, partial [Homo sapiens]	Pf00728, Pf14845	3074	HEXB	5
XP_016880202.1	Y-box-binding protein 2 isoform X1 [Homo sapiens]	Pf00313	51087	YBX2	17
BAD92494.1	suppressor of Ty 5 homolog variant, partial [Homo sapiens]	Pf00467, Pf03439, Pf04731, Pf07223, Pf11029, Pf11942, Pf12815	6829	SUPT5H	19
CAI64497.1	tumor rejection antigen (gp96) 1 [Homo sapiens]	Pf00183, Pf02518, Pf13589	7184	HSP90B1	12
NP_006347.1	ATP synthase subunit d, mitochondrial isoform a [Homo sapiens]	Pf05873	10476	ATP5H	17
AAK77986.1	U4/U6 snRNP-associated 61 kDa protein [Homo sapiens]	Pf01798, Pf08060, Pf09785	26121	PRPF31	19
XP_011532633.1	serine/threonine-protein kinase OSR1 isoform X1 [Homo sapiens]	Pf00069, Pf07714, Pf09753, Pf12202	9943	OXSR1	3
AAH45640.1	Importin 5 [Homo sapiens]	Pf02985, Pf12755, Pf13513, Pf13646	3843	IPO5	13
CAA37064.1	t-complex polypeptide 1 [Homo sapiens]	Pf00118	6950	TCP1	6
AAH07539.1	FSCN1 protein, partial [Homo sapiens]	Pf06268	6624	FSCN1	7
NP_001072989.1	kinectin isoform a [Homo sapiens]		3895	KTN1	14
XP_024308688.1	septin-2 isoform X1 [Homo sapiens]				
CAB99248.1	Nogo-A protein [Homo sapiens]	Pf02453	57142	RTN4	2
AAI43369.1	Unknown (protein for MGC:176890) [Homo sapiens]	Pf01363, Pf02759, Pf03961, Pf13897	79443	FYCO1	3
NP_071413.1	Golgi phosphoprotein 3 [Homo sapiens]	Pf05719	64083	GOLPH3	5
5SZI_A	Chain A, Structure Of Human Rab8a In Complex With The Bmerb Domain Of Mical-cl				
EAX02644.1	doublecortex; lissencephaly, X-linked (doublecortin), isoform CRA_c [Homo sapiens]	Pf03607	1641	DCX	X
CAA25833.1	glyceraldehyde-3-phosphate dehydrogenase [Homo sapiens]	Pf00044, Pf02800	2597	GAPDH	12
NP_001952.1	elongation factor 2 [Homo sapiens]	Pf00009, Pf00679, Pf03144, Pf03764, Pf14492	1938	EEF2	19
CAA35621.1	Nm23 protein, partial [Homo sapiens]	Pf00334	4830	NME1	17
XP_016861551.1	cell adhesion molecule 2 isoform X1 [Homo sapiens]	Pf00047, Pf07654, Pf07679, Pf08205, Pf13895, Pf13927	253559	CADM2	3
BAH13430.1	unnamed protein product [Homo sapiens]	Pf00036, Pf13405, Pf13499	4637	MYL6	12
EAW83826.1	caldesmon 1, isoform CRA_a [Homo sapiens]	Pf02029	800	CALD1	7
XP_011517228.1	serine/threonine-protein kinase WNK2 isoform X1 [Homo sapiens]	Pf00069, Pf07714, Pf12202	65268	WNK2	9
NP_003125.3	signal recognition particle 14 kDa protein isoform 1 [Homo sapiens]	Pf02290	6727	SRP14	15
NP_001137232.1	eukaryotic translation initiation factor 5A-1 isoform A [Homo sapiens]	Pf01287	1984	EIF5A	17
AAK74072.1	heat shock protein gp96 precursor, partial [Homo sapiens]	Pf00183, Pf02518, Pf13589	7184	HSP90B1	12
XP_005247645.1	protein CDV3 homolog isoform X1 [Homo sapiens]	Pf15359	55573	CDV3	3
NP_062543.1	heterogeneous nuclear ribonucleoprotein H2 [Homo sapiens]	Pf00076, Pf08080, Pf14259	3188	HNRNPH2	X
XP_005265126.1	golgin subfamily A member 4 isoform X1 [Homo sapiens]	Pf01465, Pf09731, Pf12128	2803	GOLGA4	3
AAI53882.1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast) [Homo sapiens]	Pf12074, Pf13646	10985	GCN1L1; GCN1	12
XP_016874541.1	ELKS/Rab6-interacting/CAST family member 1 isoform X1 [Homo sapiens]	Pf04156, Pf05529, Pf05622, Pf06785, Pf09457, Pf09726, Pf10174, Pf12128	23085	ERC1	12
EAW95031.1	amine oxidase (flavin containing) domain 2, isoform CRA_a [Homo sapiens]	Pf01593, Pf04433, Pf13450, Pf13870	23028	KDM1A	1
NP_001351228.1	succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial isoform 1 precursor [Homo sapiens]				
EAX06493.1	SERPINE1 mRNA binding protein 1, isoform CRA_e [Homo sapiens]	Pf04774	26135	SERBP1	1
4D18_H	Chain H, Crystal Structure Of The Cop9 Signalosome				
NP_057632.2	Golgi membrane protein 1 [Homo sapiens]		51280	GOLM1	9
NP_001824.1	clathrin light chain A isoform a [Homo sapiens]	Pf01086	1211	CLTA	9
EAW53281.1	integrator complex subunit 3, isoform CRA_c [Homo sapiens]	Pf10189	65123	INTS3	1
4GRP_A	Chain A, Crystallographic And Biological Characterization Of N- And C- Terminus Mutants Of Human Mif				
NP_001012997.1	transcription elongation factor A protein-like 5 [Homo sapiens]	Pf04538	340543	TCEAL5	X
6AP9_A	Chain A, Crystal Structure of hGSTP1-1 with S-nitrosation of Cys101				
NP_001229766.1	AP-2 complex subunit alpha-2 isoform 1 [Homo sapiens]	Pf01602, Pf02296, Pf02883, Pf13646	161	AP2A2	11
NP_060864.1	mycophenolic acid acyl-glucuronide esterase, mitochondrial isoform 1 precursor [Homo sapiens]	Pf00326, Pf00561, Pf12695, Pf12697	55347	ABHD10	3
AAH11384.1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle [Homo sapiens]	Pf00006, Pf00306, Pf02663, Pf02874, Pf05943	498	ATP5A1	18
EAW75764.1	nuclear receptor coactivator 5, isoform CRA_a [Homo sapiens]		57727	NCOA5	20
NP_001171669.1	src substrate cortactin isoform c [Homo sapiens]	Pf00018, Pf02218, Pf07653, Pf14604	2017	CTTN	11
NP_001278357.1	apoptosis regulator BAX isoform 1 [Homo sapiens]	Pf00452	581	BAX	19
NP_006311.3	membrane-associated progesterone receptor component 2 [Homo sapiens]				
6A69_A	Chain A, Cryo-EM structure of a P-type ATPase				
NP_001276718.1	glucose-6-phosphate isomerase isoform 3 [Homo sapiens]	Pf00342	2821	GPI	19
EAW59051.1	hCG28765, isoform CRA_b [Homo sapiens]	Pf03285	445815	PALM2-AKAP2	9
BAG59790.1	unnamed protein product [Homo sapiens]	Pf00013, Pf12235, Pf13014	8087	FXR1	3
NP_001008528.1	matrix-remodeling-associated protein 7 isoform 1 precursor [Homo sapiens]		439921	MXRA7	17
3F8U_A	Chain A, TapasinERP57 HETERODIMER				
AAH77077.1	DPYSL3 protein [Homo sapiens]	Pf01979, Pf13147, Pf13594	1809	DPYSL3	5
NP_006169.2	vesicle-fusing ATPase [Homo sapiens]	Pf00004, Pf00910, Pf01078, Pf02359, Pf02933, Pf05272, Pf05496, Pf06068, Pf07724, Pf07728, Pf13173, Pf13191, Pf13207, Pf13401	4905	NSF	17; CHR_HSCHR17_1_CTG5; CHR_HSCHR17_2_CTG5
XP_005261192.1	ATP-dependent 6-phosphofructokinase, liver type isoform X3 [Homo sapiens]	Pf00365	5211	PFKL	21
3O47_A	Chain A, Crystal structure of ARFGAP1-ARF1 fusion protein				
XP_011515885.1	ubiquitin-conjugating enzyme E2 variant 2 isoform X1 [Homo sapiens]	Pf00179	7336	UBE2V2	8
NP_149124.3	2',3'-cyclic-nucleotide 3'-phosphodiesterase isoform 1 [Homo sapiens]	Pf01591, Pf05881, Pf08302, Pf13207, Pf13671	1267	CNP	17
NP_612398.2	protein NOXP20 isoform 1 [Homo sapiens]	Pf05334	92689	FAM114A1	4
ABO32290.1	TDP43 [Homo sapiens]	Pf00076, Pf13893, Pf14259	23435	TARDBP	1
XP_024309834.1	farnesyl pyrophosphate synthase isoform X1 [Homo sapiens]				
XP_005267806.1	ena/VASP-like protein isoform X2 [Homo sapiens]	Pf00568, Pf08776	51466	EVL	14
CAH18422.1	hypothetical protein [Homo sapiens]	Pf07159	51571	FAM49B	8
CAD38684.1	hypothetical protein, partial [Homo sapiens]	Pf04156	6238	RRBP1	20
NP_006816.2	cytoskeleton-associated protein 4 [Homo sapiens]	Pf13166	10970	CKAP4	12
1YFK_A	Chain A, Crystal Structure Of Human B Type Phosphoglycerate Mutase				
XP_011542646.1	centrosomal protein of 170 kDa isoform X14 [Homo sapiens]	Pf00498, Pf15308	9859	CEP170	1
XP_005272732.1	probable ubiquitin carboxyl-terminal hydrolase FAF-X isoform X1 [Homo sapiens]	Pf00443, Pf09606, Pf13423	8239	USP9X	X
AAH08906.1	Enoyl Coenzyme A hydratase, short chain, 1, mitochondrial [Homo sapiens]	Pf00378, Pf01343	1892	ECHS1	10
NP_064579.3	mitochondrial fission factor isoform a [Homo sapiens]	Pf05644	56947	MFF	2
NP_004528.1	nucleosome assembly protein 1-like 1 isoform 1 [Homo sapiens]	Pf00956	4673	NAP1L1	12
BAG58692.1	unnamed protein product [Homo sapiens]	Pf01055, Pf04901, Pf13802			
NP_039268.1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 [Homo sapiens]	Pf02274	23564	DDAH2	6; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_COX_CTG1
NP_056281.1	tyrosine-protein phosphatase non-receptor type 23 isoform 1 [Homo sapiens]	Pf00102, Pf03097, Pf05823, Pf13949	25930	PTPN23	3
NP_612453.1	BTB/POZ domain-containing protein KCTD12 [Homo sapiens]	Pf02214	115207	KCTD12	13
NP_002964.3	ataxin-2 isoform 1 [Homo sapiens]	Pf06741, Pf07145, Pf09770, Pf14438	6311	ATXN2	12
BAD93136.1	Hypothetical protein DKFZp434O1826 variant, partial [Homo sapiens]	Pf00400, Pf13765	374286	CDRT1	17
AAD00728.1	hepatocellular carcinoma associated protein [Homo sapiens]	Pf01454	10916	MAGED2	X
2B6H_A	Chain A, Structure Of Human Adp-ribosylation Factor 5				
NP_002267.2	keratin, type I cytoskeletal 19 [Homo sapiens]	Pf00038	3880	KRT19	17
NP_006798.1	chromobox protein homolog 1 [Homo sapiens]	Pf00385, Pf01393	10951	CBX1	17
NP_066959.1	reticulon-1 isoform A [Homo sapiens]	Pf02453	6252	RTN1	14
XP_011521756.3	MTSS1-like protein isoform X2 [Homo sapiens]				
XP_016884289.1	arylsulfatase A isoform X1 [Homo sapiens]	Pf00884, Pf01663, Pf14707	410	ARSA	22
3RPN_A	Chain A, Crystal structure of human kappa class glutathione transferase in complex with S-hexylglutathione				
NP_001333694.1	unconventional myosin-XVIIIa isoform c [Homo sapiens]	Pf00038, Pf00063, Pf00595, Pf00769, Pf01496, Pf01576, Pf02463, Pf02841, Pf03962, Pf04111, Pf04156, Pf04502, Pf05483, Pf05557, Pf05622, Pf05701, Pf05911, Pf06008, Pf06160, Pf06785, Pf06818, Pf07111, Pf07888, Pf08286, Pf09726, Pf09728, Pf09731, Pf09789, Pf10174, Pf12128, Pf12252, Pf12718, Pf13514, Pf13851, Pf14643, Pf14662, Pf14992, Pf15066, Pf15070, Pf15397	399687	MYO18A	17
NP_006005.2	EKC/KEOPS complex subunit LAGE3 [Homo sapiens]	Pf09341	8270	LAGE3	X
BAA95163.2	hVPS11 [Homo sapiens]	Pf00097, Pf00637, Pf12451, Pf12678, Pf13639, Pf13923, Pf14634, Pf15227	55823	VPS11	11
BAF82842.1	unnamed protein product [Homo sapiens]	Pf00107, Pf08240, Pf13602	57687	VAT1L	16
BAG38108.1	unnamed protein product [Homo sapiens]		79002	C19orf43; TRIR	19
AAB62722.1	secretory carrier membrane protein [Homo sapiens]	Pf04144	9522	SCAMP1	5
NP_001186846.1	phosphoacetylglucosamine mutase isoform 1 [Homo sapiens]	Pf00408, Pf02878, Pf02879, Pf02880	5238	PGM3	6
NP_006078.2	tubulin beta-4A chain isoform 3 [Homo sapiens]	Pf00091, Pf03953, Pf10644	10382	TUBB4A	19
NP_001188408.1	CORO7-PAM16 protein [Homo sapiens]	Pf00400, Pf03656, Pf08953, Pf08954	100529144; 79585	CORO7-PAM16; CORO7	16; CHR_HSCHR16_3_CTG1
AAC15705.1	Ras-GAP SH3 binding protein [Homo sapiens]	Pf00076, Pf02136, Pf14259	9908	G3BP2	4
AQY77350.1	PRRC2A [Homo sapiens]	Pf07001	7916	PRRC2A	6; CHR_HSCHR6_MHC_DBB_CTG1
NP_004703.1	hepatocyte growth factor-regulated tyrosine kinase substrate [Homo sapiens]	Pf00790, Pf01363, Pf09770, Pf12210, Pf13388	9146	HGS	17
AAC05812.1	Gene product with similarity to Ubiquitin binding enzyme [Homo sapiens]	Pf00240, Pf14560	56061	UBFD1	16
AAC50292.1	fragile X mental retardation syndrome related protein [Homo sapiens]	Pf00013, Pf05641, Pf12235, Pf13014	9513	FXR2	17
EAW47755.1	A kinase (PRKA) anchor protein (gravin) 12, isoform CRA_c [Homo sapiens]	Pf03832	9590	AKAP12	6
XP_005251039.1	plectin isoform X8 [Homo sapiens]	Pf00307, Pf00681, Pf07812	5339	PLEC	8
AAH60792.1	ACBD3 protein [Homo sapiens]	Pf00373, Pf00887, Pf13897	64746	ACBD3	1
XP_011511221.1	5'-3' exoribonuclease 1 isoform X1 [Homo sapiens]	Pf03159	54464	XRN1	3
AAH51289.3	Ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast), partial [Homo sapiens]	Pf00179, Pf14461	7329	UBE2I	16
5MQF_W	Chain W, U2 small nuclear ribonucleoprotein A'				
EAW91377.1	importin 9, isoform CRA_c, partial [Homo sapiens]	Pf03810	55705	IPO9	1
NP_001157940.1	TRAM adaptor with GOLD domain isoform 1 precursor [Homo sapiens]	Pf01105, Pf13676	100302736; 353376	TMED7-TICAM2; TICAM2	5
BAG52262.1	unnamed protein product [Homo sapiens]	Pf00017, Pf00018, Pf07653, Pf14604	2885	GRB2	17
BAG52906.1	unnamed protein product [Homo sapiens]	Pf00320, Pf00412	57459	GATAD2B	1
4AP5_A	Chain A, Crystal Structure Of Human Pofut2				
NP_569730.1	V-type proton ATPase subunit G 2 isoform a [Homo sapiens]	Pf03179	534	ATP6V1G2	6; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_MANN_CTG1
CAD24007.1	WIRE protein [Homo sapiens]	Pf02205	147179	WIPF2	17
NP_004580.1	protein SCO1 homolog, mitochondrial [Homo sapiens]	Pf00578, Pf02630, Pf13905	6341	SCO1	17
AAP78944.1	interferon regulatory factor-2 binding protein 2A [Homo sapiens]	Pf11261	359948	IRF2BP2	1
2ZOQ_A	Chain A, Structural Dissection Of Human Mitogen-Activated Kinase Erk1				
NP_001035879.1	paraspeckle component 1 isoform 1 [Homo sapiens]	Pf00076, Pf08075, Pf13893, Pf14259	55269	PSPC1	13
NP_001273677.1	28S ribosomal protein S27, mitochondrial isoform 1 [Homo sapiens]	Pf10037, Pf12854, Pf13041	23107	MRPS27	5
EAW56972.1	biliverdin reductase B (flavin reductase (NADPH)), isoform CRA_d [Homo sapiens]	Pf01073, Pf01370, Pf13460	645	BLVRB	19
NP_110385.1	oxysterol-binding protein 2 isoform a [Homo sapiens]	Pf00169, Pf01237, Pf15409, Pf15413	23762	OSBP2	22
AAH39461.1	RNF170 protein, partial [Homo sapiens]	Pf00097, Pf13445, Pf13639, Pf13920, Pf13923, Pf14634, Pf15227	81790	RNF170	8
EAX10286.1	small nuclear ribonucleoprotein polypeptide B'', isoform CRA_b [Homo sapiens]	Pf00076, Pf13893, Pf14259	6629	SNRPB2	20
NP_612429.2	protein AHNAK2 isoform 1 [Homo sapiens]		113146	AHNAK2	14
XP_024308225.1	RNA-binding protein 10 isoform X1 [Homo sapiens]				
AAC27345.1	glutamine PRPP amidotransferase [Homo sapiens]	Pf00156, Pf00310, Pf13230, Pf13522, Pf13537	5471	PPAT	4
CAG33699.1	CBX5 [Homo sapiens]	Pf00385, Pf01393	23468	CBX5	12
AAC39938.1	mutant desmin [Homo sapiens]	Pf00038, Pf04732	1674	DES	2
NP_001291937.1	endoplasmic reticulum junction formation protein lunapark isoform 1 precursor [Homo sapiens]	Pf10058	80856	KIAA1715; LNPK	2
NP_000284.1	phosphorylase b kinase regulatory subunit beta isoform a [Homo sapiens]	Pf00723	5257	PHKB	16
EAX11058.1	alkylglycerone phosphate synthase, isoform CRA_b [Homo sapiens]	Pf01565, Pf02913	8540	AGPS	2
XP_016867131.1	A-kinase anchor protein 9 isoform X1 [Homo sapiens]	Pf10186, Pf10495	10142	AKAP9	7
NP_001317.1	cleavage stimulation factor subunit 3 isoform 1 [Homo sapiens]	Pf05843	1479	CSTF3	11
NP_001287916.1	polypyrimidine tract-binding protein 2 isoform 3 [Homo sapiens]	Pf00076, Pf13893, Pf14259	58155	PTBP2	1
SPT35734.1	BCR, partial [Homo sapiens]				
BAD96529.1	signal sequence receptor, alpha variant, partial [Homo sapiens]	Pf03896	6745	SSR1	6
NP_055761.2	spastin isoform 1 [Homo sapiens]	Pf00004, Pf00437, Pf01078, Pf04212, Pf05496, Pf06068, Pf07724, Pf07728, Pf13401	6683	SPAST	2
NP_009039.1	elongin-B isoform a [Homo sapiens]	Pf00240	6923	TCEB2; ELOB	16
Q7Z7K6.1	RecName: Full=Centromere protein V; Short=CENP-V; AltName: Full=Nuclear protein p30; AltName: Full=Proline-rich protein 6	Pf04828	201161	CENPV	17
NP_001308062.1	Golgi SNAP receptor complex member 2 isoform D [Homo sapiens]	Pf12352	9570	GOSR2	17
BAD96916.1	proteasome 26S non-ATPase subunit 11 variant, partial [Homo sapiens]	Pf01399	5717	PSMD11	17
AAQ89407.1	TXNDC4 [Homo sapiens]	Pf00085, Pf01216, Pf07449, Pf13098, Pf13848	23071	ERP44	9
BAB11885.1	BSCv, partial [Homo sapiens]	Pf03088, Pf08450	57136	APMAP	20
NP_851997.1	activating transcription factor 7-interacting protein 1 isoform 1 [Homo sapiens]		55729	ATF7IP	12
XP_005268422.1	transcription elongation regulator 1 isoform X1 [Homo sapiens]	Pf00397, Pf01846, Pf13949	10915	TCERG1	5
AAA86463.1	Csa-19 [Homo sapiens]	Pf00687	4736	RPL10A	6
2OB0_A	Chain A, Human Mak3 Homolog In Complex With Acetyl-Coa				
NP_001003800.1	protein bicaudal D homolog 2 isoform 1 [Homo sapiens]	Pf03961, Pf04111, Pf04156, Pf05483, Pf06785, Pf09730	23299	BICD2	9
XP_011522203.1	platelet-activating factor acetylhydrolase IB subunit alpha isoform X1 [Homo sapiens]	Pf00400, Pf08513, Pf11715	5048	PAFAH1B1	17
XP_016882478.1	dual specificity mitogen-activated protein kinase kinase 2 isoform X1 [Homo sapiens]	Pf00069, Pf07714, Pf14531	5605	MAP2K2	19
NP_001307539.1	MICOS complex subunit MIC25 isoform 1 [Homo sapiens]	Pf05300	84303	CHCHD6	3
BAG53967.1	unnamed protein product [Homo sapiens]	Pf04826, Pf10508	114928	GPRASP2	X
NP_075392.2	ankyrin repeat domain-containing protein SOWAHC [Homo sapiens]	Pf00023, Pf12796, Pf13606, Pf13637, Pf13857	65124	SOWAHC	2
6FCM_A	Chain A, Proliferating cell nuclear antigen				
AAD32098.1	heme-binding protein [Homo sapiens]	Pf04832	50865	HEBP1	12
EAW68950.1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R), isoform CRA_b [Homo sapiens]	Pf00076, Pf13893, Pf14259	1994	ELAVL1	19
XP_011532899.1	endoplasmic reticulum-Golgi intermediate compartment protein 1 isoform X1 [Homo sapiens]	Pf07970, Pf13850	57222	ERGIC1	5
NP_004335.1	centrin-2 [Homo sapiens]	Pf00036, Pf13202, Pf13405, Pf13499, Pf13833	1069	CETN2	X
BAC87312.1	unnamed protein product [Homo sapiens]	Pf00787, Pf03280, Pf03700, Pf09325, Pf10456, Pf12128	6642	SNX1	15
NP_000217.2	keratin, type I cytoskeletal 9 [Homo sapiens]	Pf00038, Pf13166	3857	KRT9	17
NP_060908.1	F-box only protein 6 [Homo sapiens]	Pf00646, Pf04300, Pf12937	26270	FBXO6	1
NP_653237.1	mitochondrial intermembrane space import and assembly protein 40 isoform 2 [Homo sapiens]	Pf06747	131474	CHCHD4	3
NP_002120.1	high mobility group protein B2 [Homo sapiens]	Pf00505, Pf09011	3148	HMGB2	4
NP_057086.2	saccharopine dehydrogenase-like oxidoreductase [Homo sapiens]	Pf03435, Pf13460	51097	SCCPDH	1
XP_011517904.1	rho GTPase-activating protein 21 isoform X1 [Homo sapiens]	Pf00169, Pf00595, Pf00620, Pf13180, Pf15410	57584	ARHGAP21	10
NP_001131026.1	malignant T-cell-amplified sequence 1 isoform 2 [Homo sapiens]	Pf01472	28985	MCTS1	X
NP_001341487.1	protein NDRG2 isoform g [Homo sapiens]	Pf00561, Pf03096, Pf12697	57447	NDRG2	14
